md,GR
0,40.04
0.5,39.289
1,38.383
1.5,37.371
2,35.869
2.5,34.854
3,35.285
3.5,42.839
4,46.866
4.5,56.329
5,59.091
5.5,64.436
6,67.3
6.5,73.631
7,85.199
7.5,87.322
8,87.601
8.5,87.064
9,86.528
9.5,85.992
10,85.206
10.5,84.388
11,83.571
11.5,83.564
12,83.567
12.5,83.57
13,84.417
13.5,85.816
14,87.643
14.5,89.256
15,88.701
15.5,85.667
16,80.071
16.5,76.742
17,74.125
17.5,71.509
18,66.942
18.5,63.651
19,63.219
19.5,62.891
20,61.405
20.5,59.336
21,59.476
21.5,65.982
22,73.671
22.5,73.764
23,72.183
23.5,71.076
24,70.507
24.5,70.63
25,70.991
25.5,72.816
26,76.843
26.5,78.42
27,81.552
27.5,84.843
28,87.387
28.5,87.53
29,86.173
29.5,84.663
30,84.107
30.5,89.414
31,93.375
31.5,91.412
32,90.567
32.5,91.802
33,92.371
33.5,92.215
34,84.767
34.5,79.549
35,74.821
35.5,74.122
36,72.938
36.5,73.199
37,82.582
37.5,89.412
38,95.17
38.5,94.38
39,91.397
39.5,88.133
40,85.191
40.5,82.345
41,78.628
41.5,73.739
42,70.786
42.5,72.477
43,75.224
43.5,74.575
44,73.277
44.5,72.755
45,73.323
45.5,77.674
46,84.739
46.5,83.816
47,82.461
47.5,82.537
48,82.877
48.5,84.344
49,85.826
49.5,86.919
50,85.92
50.5,84.01
51,82.182
51.5,81.115
52,80.934
52.5,81.022
53,81.304
53.5,90.18
54,94.254
54.5,96.235
55,95.884
55.5,95.045
56,93.827
56.5,92.178
57,90.404
57.5,87.584
58,83.921
58.5,80.258
59,77.8
59.5,77.234
60,82.132
60.5,88.403
61,86.571
61.5,80.281
62,73.99
62.5,66.351
63,56.424
63.5,55.813
64,58.277
64.5,61.716
65,64.771
65.5,62.291
66,58.537
66.5,54.783
67,49.89
67.5,46.52
68,46.009
68.5,47.2
69,52.813
69.5,60.097
70,58.785
70.5,55.431
71,51.965
71.5,48.762
72,46.136
72.5,43.509
73,40.959
73.5,39.817
74,39.27
74.5,39.783
75,40.9
75.5,42.882
76,43.807
76.5,43.501
77,39.384
77.5,37.747
78,37.603
